2025-07-11 09:12:46.093 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 17.5
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-07-11 09:12:46.903 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-11 09:12:47.180 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-11 09:12:47.664 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-11 09:12:48.138 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 09:12:48.146 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 5.134 seconds (process running for 5.608)
2025-07-11 09:13:10.574 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-11 09:13:10.574 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-11 09:13:10.575 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-11 09:13:10.607 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:13:10.609 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:13:10.610 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:13:10.610 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:13:10.610 [http-nio-8080-exec-2] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:13:10.610 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:13:10.611 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:13:10.784 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Successfully retrieved 10 customers on page 0
2025-07-11 09:13:33.075 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-11 09:13:33.082 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-11 09:13:33.086 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-11 09:13:33.089 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-11 09:13:33.092 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-07-11 09:44:25.700 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 24.0.1 with PID 11368 (C:\Users\michal\Desktop\DVDRENTAL\Spring_boot_warm_up\demo\target\classes started by michal in C:\Users\michal\Desktop\DVDRENTAL\Spring_boot_warm_up\demo)
2025-07-11 09:44:25.703 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 09:44:26.538 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-11 09:44:26.649 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 99 ms. Found 4 JPA repository interfaces.
2025-07-11 09:44:27.254 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-11 09:44:27.269 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-11 09:44:27.270 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-11 09:44:27.344 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-11 09:44:27.345 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1587 ms
2025-07-11 09:44:27.540 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-11 09:44:27.597 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.18.Final
2025-07-11 09:44:27.632 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-11 09:44:27.950 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-11 09:44:27.981 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-11 09:44:28.257 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@45dde6ac
2025-07-11 09:44:28.258 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-11 09:44:28.323 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 17.5
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-07-11 09:44:29.140 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-11 09:44:29.415 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-11 09:44:29.877 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-11 09:44:30.264 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-11 09:44:30.273 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 5.089 seconds (process running for 5.635)
2025-07-11 09:45:04.682 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-11 09:45:04.683 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-11 09:45:04.683 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-07-11 09:45:04.716 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:45:04.719 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:04.720 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:45:04.720 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:04.720 [http-nio-8080-exec-2] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive�ountry=United Kingdom, city="London"} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:04.720 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive�ountry=United Kingdom, city="London"} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:04.721 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'city' and value: '"London"'
2025-07-11 09:45:04.723 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive�ountry=United Kingdom'
2025-07-11 09:45:04.747 [http-nio-8080-exec-2] WARN  c.e.d.e.GlobalExceptionHandler - Unknown filter parameter exception: Unknown filter parameter: status
2025-07-11 09:45:27.966 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:45:27.966 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:27.966 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:45:27.966 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:27.966 [http-nio-8080-exec-4] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {city="London", status=inactive, fcountry=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:27.967 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {city="London", status=inactive, fcountry=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:27.967 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'city' and value: '"London"'
2025-07-11 09:45:27.967 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:45:27.967 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'fcountry' and value: 'United Kingdom'
2025-07-11 09:45:27.967 [http-nio-8080-exec-4] WARN  c.e.d.e.GlobalExceptionHandler - Unknown filter parameter exception: Unknown filter parameter: fcountry
2025-07-11 09:45:38.496 [http-nio-8080-exec-6] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:45:38.497 [http-nio-8080-exec-6] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:38.497 [http-nio-8080-exec-6] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:45:38.497 [http-nio-8080-exec-6] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:38.497 [http-nio-8080-exec-6] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {city="London", status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:38.497 [http-nio-8080-exec-6] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {city="London", status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:45:38.498 [http-nio-8080-exec-6] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'city' and value: '"London"'
2025-07-11 09:45:38.498 [http-nio-8080-exec-6] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:45:38.498 [http-nio-8080-exec-6] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:45:38.607 [http-nio-8080-exec-6] INFO  c.e.demo.service.CustomerService - Successfully retrieved 0 customers on page 0
2025-07-11 09:45:44.163 [http-nio-8080-exec-7] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
